college_name,link,college_type,facilities,contact_no,Email_id,Website,address 
"SiddhantInstituteofBusinessManagement(SIBM),pune",https://www.collegedekho.com/colleges/siddhant-institute-of-business-management,Private, Academic Zone   Auditorium   Boys Hostel   Canteen   Computer Lab   Convo. Hall   Counselling   Mess   Theatre   Library   Medical Facilities   Cls. Room   Placement   Sports   Trans.   WiFi  ,02065100360,siddhantinstitute@gmail.com,http://siddhantibm.edu.in/,"SIBM Pune, Talegaon-Chakan Road, A/P-Sudumbare, Tal-Maval, Pune-412109, Maharashtra, India"
"UniqueInstituteofManagement(UIM),pune",https://www.collegedekho.com/colleges/unique-institute-of-management-pune,Private, Canteen   Computer Lab   Library   Cls. Room   Placement   Trans.   WiFi  ,020-26961995,admissions@uimpune.org,http://www.uimpune.org,"['S. No. 36/3c Katraj- Kondhwa Road,\r\nKatraj, Pune, Maharashtra (India)\r\nPin - 411 046']"
"SVPMsInstituteofManagement(SVPMIM),pune",https://www.collegedekho.com/colleges/svpms-institute-of-management,Private, Canteen   Computer Lab   Library   Medical Facilities   Cls. Room   Placement   Trans.   WiFi  ,  ,directoriom@yahoo.co.in,http://mgmt.svpm.org.in/index.php,"['Tal-Baramati, Malegaon, Pune, Maharashtra, India- 413115']"
"ForesightInstituteofManagement&Research(FIMR),pune",https://www.collegedekho.com/colleges/foresight-institute-of-management-research,Private, Library  ,   ,info@foresightedu.com,http://www.foresightedu.com/,"['1170-27 Revenue Colony, ‘Saraswati Nilayam’ Off J. M. Road,\r\n\r\nShivajinagar,  Pune 411 005']"
"KirloskarInstituteofAdvancedManagementStudies(KIAMS),pune",https://www.collegedekho.com/colleges/kiams,Private, Auditorium   Boys Hostel   Canteen   Computer Lab   Girls Hostel   Gym   Library   Medical Facilities   Cls. Room   Sports   Cafeteria    Hostel  ,91-2114-289000/1/2/3/4/5,kiamspune@gmail.com,www.kiams.ac.in,"Gut No. 356 and 357, Near Tata Foundry, Village Dhamane, Taluka Maval, Pune - 410 506, Maharashtra (India)"
"DSRFInstituteofComputerScience&ManagementStudies(DSRF),pune",https://www.collegedekho.com/colleges/dsrf,Private, A/C   Computer Lab   Cls. Room   Placement  ,  27012726,dsrf@dss.co.in,http://www.dsrfpune.com/course_mbs.html,"['Plot No. P-1, Survey No. 15, Behind IT Tower,Kharadi Knowledge Park, Kharadi, Pune - 411 014']"
"IIEBMIndusBusinessSchool-(IIEBMIBS),pune",https://www.collegedekho.com/colleges/iiebm,Private, Canteen   Computer Lab   Library   Medical Facilities   Cafeteria    Laboratories   Hostel  , 65293780,hodadmissions@iiebm.com,http://www.iiebm.com/i/home.html,"S. No. 114/1/3, Wakad-Marunje Road, Off Mumbai-Bangalore Highway,Wakad, Pune - 411 057 (Maharashtra)"
"NationalInsuranceAcademy(NIAPUNE),pune",https://www.collegedekho.com/colleges/nia-pune,Private, Auditorium   Boys Hostel   Canteen   Computer Lab   Girls Hostel   Gym   Library   Medical Facilities   Cls. Room   Sports   Grounds   Swimming Pool   Trans.   Cafeteria    Laboratories   Hostel  ,+91-20-27204000,contactus@niapune.org.in,http://niapune.org.in/,"National Insurance Academy 25,Balewadi, Baner Road, NIA P.O., Pune 411 045 India"
"InternationalInstituteofManagement&HumanResourceDevelopment(IIMHRDPUNE),pune",https://www.collegedekho.com/colleges/iimhrd-pune,Private, A/C   AV Lab   ATM   Boys Hostel   Canteen   Computer Lab   Girls Hostel   Theatre   Library   Medical Facilities   Cls. Room   Grounds  ,020-66547500   020-26709170,admissions@saibalaji.org,http://iimhrd.edu.in/,"['Kasarsai Road', ' Near Hinjewadi IT Park', ' Hinjewadi', ' Pune', ' Maharashtra', ' India- 411033 ']"
"JayawantraoSawantInstituteofManagementandResearch(JSIMRPUNE),pune",https://www.collegedekho.com/colleges/jayawantrao-sawant-institute-of-management-and-research,Private, Math Lab   Academic Zone   Education Festival   Planning lab   Free Laptop   Girls Hostel   Library   Medical Facilities   Cls. Room  , 26970882,jsimrdirector@gmail.com,http://jspm.edu.in/jsimr/,"['Jayawantrao Sawant Institute of Management & Research (JSIMR)\r\nS.No – 58, Indrayani Nagar, Handewadi Road, Hadapsar.\r\nPune- 411 028']"
"Smt.HirabenNanavatiInstituteofManagement&ResearchforWomen(HNIMRW),pune",https://www.collegedekho.com/colleges/hiraben-nanavati-institute-of-management-and-research,Private, AV Lab   Auditorium   Boys Hostel   Canteen   Computer Lab   Gym   Library   Medical Facilities   Cls. Room   Placement   Sports   WiFi   Cafeteria    Laboratories   Hostel  ,02025475977,contact@hnimr.edu.in,http://www.hnimr.org/,"['Near Cummins Engineering College, Karve Nagar, Pune 411052']"
"RajaShreeShivrayaPratishthansInstituteofManagementandComputerStudies(IMCSPUNE),pune",https://www.collegedekho.com/colleges/imcs-pune,Private, Math Lab   Academic Zone   A/C   AV Lab   Auditorium   ATM   Boys Hostel   Canteen   Computer Lab   Girls Hostel   Guest house   Gym   Mess   Library   Medical Facilities   Cls. Room   Placement   Sports   Grounds   Residential Faculty Zone   Trans.   WiFi  ,912025444363,info@imcs.ac.in,http://www.imcs.ac.in/,"['Baburao Sutar Path,  Rambaug Colony, Opp. Krishna Hospital, Paud Road, Kothrud, Pune 411038, Maharashtra, India.']"
"BalajiInstituteofManagement&HumanResourceDevelopment(BIMHRD),pune",https://www.collegedekho.com/colleges/bimhrd,Private, A/C   Auditorium   Boys Hostel   Canteen   Computer Lab   Counselling   Fest   Girls Hostel   Gym   Mess   Library   Medical Facilities   Cls. Room   Placement   Sports   Grounds   Residential Faculty Zone   Swimming Pool   WiFi   Cafeteria    Laboratories   Hostel  ,02066741482,director.academics@balajisociety.org,http://www.bimhrdpune.com/,"['BIMHRD', ' Survey No. 55/2-7', ' Tathawade', ' Off Mumbai-Bangalore Bypass', ' Pune-411033', ' Maharashtra', ' India']"
"IndiraCollegeofEngineeringandManagement(ICEM),pune",https://www.collegedekho.com/colleges/indira-college-of-engineering-and-management,Private, Academic Zone   Auditorium   Boys Hostel   Canteen   Computer Lab   Counselling   Girls Hostel   Guest house   Gym   Mess   Library   Medical Facilities   Cls. Room   Placement   Sports   Grounds   Residential Institute   Residential Zone   Residential Faculty Zone   Trans.   WiFi   Ambulance   Cafeteria    Laboratories   Hostel  ,+91-2114   ,info@indiraicem.ac.in,http://indiraicem.ac.in/,"S.No. 64,65, Gat No. 276,Parandwadi, Near Somatne phata,Maval, Dist. : Pune u2013 410 506"
"IndiraSchoolofBusinessStudies(ISBS),pune",https://www.collegedekho.com/colleges/indira-school-of-business-studies,Private, Auditorium   Boys Hostel   Canteen   Computer Lab   Convo. Hall   Counselling   Fest   Girls Hostel   Gym   Mess   Library   Medical Facilities   Cls. Room   Placement   Sports   Grounds   Residential Institute   Residential Faculty Zone   Trans.   WiFi   Cafeteria    Laboratories   Hostel  , 66759415,admissions@indiraisbs.ac.in,http://indiraisbs.ac.in,"['89/2-A Tathawade New Mumbai Pune Highway', ' Near Wakad Police Station ', ' Pune', ' Maharashtra', ' India - 411033']"
"MarathwadaMitraMandalsInstituteofTechnology(MMIT),pune",https://www.collegedekho.com/colleges/mmit-pune,Private, Academic Zone   Boys Hostel   Canteen   Computer Lab   Library   Medical Facilities   Cls. Room   Placement   Residential Institute   Residential Zone   Residential Faculty Zone   Trans.   WiFi  ,  32412681,info@mmit.edu.in,http://www.mmit.edu.in/,"['Survey No. 35, Vadgaon Shinde Road, Lohgaon, Pune 411 047.']"
"ShashwatInstituteofBusinessManagement(SIBM),pune",https://www.collegedekho.com/colleges/shashwat-institute-of-business-management-pune,Private, Academic Zone   Auditorium   Boys Hostel   Canteen   Computer Lab   Convo. Hall   Counselling   Mess   Theatre   Library   Medical Facilities   Cls. Room   Placement   Sports   Practical Labs   Trans.   WiFi  ,020-66319450,info@sibmpune.org,http://www.index.sibmpune.org/,"['Shashwat Institute of Business Management (SIBM)', ' Campus : 512', ' Katarkhadak', ' Po. - khamboli', ' Mulshi', ' Pune - 411042']"
"AdityaInstituteofManagement(AIM),pune",https://www.collegedekho.com/colleges/aditya-institute-of-management-pune,Private, A/C   AV Lab   Auditorium   Canteen   Computer Lab   Theatre   Library   Medical Facilities   Cls. Room   Sports   WiFi   Cafeteria    Laboratories  ,     ,info@adityainstitute.net,http://adityainstitute.net/,"['Next to Greenland County\r\nManajinagar, \r\nNarhe, Pune 411041\r\nMaharashtra. INDIA.']"
"MITSchoolofBusiness(MIT-SOB),pune",https://www.collegedekho.com/colleges/mitsob,Private, Academic Zone   A/C   Auditorium   Boys Hostel   Canteen   Computer Lab   Convo. Hall   Counselling   Girls Hostel   Guest house   Gym   International Center   Library   Medical Facilities   Cls. Room   Placement   Sports   Club   Trans.   WiFi   Seminar Hall   Cafeteria    Laboratories   Hostel  ,9922487669 9922487671,mitsob@mitpune.com,www.mitsob.net,"S.No. 123, Off Paud Road, Kothrud, Pune- 411038"
"AcademyofCarverAviationPvt.Limited(CARVERAVIATION),pune",https://www.collegedekho.com/colleges/carver-aviation, ,Established In1995Fee RangeINR 28.4 LacsCourses Offered3 ,,vaibhavs@carveraviation.com,http://www.carveraviation.in/welcome.php,
"NOVEL'sNIBRCollegeofHotelManagement&CateringTechnology(NIBRPUNE),pune",https://www.collegedekho.com/colleges/novels-nibr-college-of-hotel-management-catering-technology,Private, Education Festival   Planning lab   Girls Hostel   Guest house   Gymkhana   Hospital   International Center   Theatre   Medical Facilities   Music   Placement   Grounds  ,02027659910,nibrindia@gmail.com,http://nibrindia.com/,"['1/D, Sant Tukaram Sankul,Opp. St. Ursulas High School,Nigdi Pradhikaran, Pune- 411 044.']"
"K.B.JoshiInstituteofInformationTechnology(BCACollege)(KBJIIT),pune",https://www.collegedekho.com/colleges/kb-joshi-institute-of-information-technology,Private, ATM   Canteen   Computer Lab   Library   Medical Facilities   Cls. Room  , 25470171,kbjiitbca@maharshikarvebcapune.org,http://www.maharshikarvebcapune.org/,"['Cummins Engineering College Campus, Karvenagar, Pune – 411 052 , Maharashtra, India.']"
"IntegratedCircuit&InformationTechnology(ICITPUNE),pune",https://www.collegedekho.com/colleges/icit-pune, ,Established In2000Fee RangeINR 65 K - 70 KCourses Offered4 ,91-020-2569 ,icitonline@gmail.com,http://www.icitonline.org/,"['Savitribai Phule Pune University, Ganeshkhind, Pune - 411007']"
"GovernmentPolytechnic(GP),pune",https://www.collegedekho.com/colleges/government-polytechnic-pune,Government, Boys Hostel   Girls Hostel   Gym   Library   Workshops  ,91-020-25559200,principal@gppune.ac.in,http://www.gppune.ac.in/,"['Ganeshkhind', ' University Road', 'Shivajinagar', ' Pune-411016', ' Maharashtra', ' India.']"
"IndiraInstituteOfManagement(IIMPPune),pune",https://www.collegedekho.com/colleges/indira-institute-of-management-pune,Private, Auditorium   ATM   Boys Hostel   Computer Lab   Gym   Theatre   Medical Facilities   Cls. Room   Sports   Cafeteria    Laboratories   Hostel  ,   ,info@indiraedu.com,www.indiraiimp.edu.in,"85/5-B, New, Old Mumbai Rd, Tathawade, Pune, Maharashtra 411033"
"Dr.D.Y.PatilPratishthan'sPadmashreeDr.D.Y.PatilInstituteofMasterofComputerApplications(DYPATILMCA),pune",https://www.collegedekho.com/colleges/dy-patil-mca,Private, A/C   Auditorium   Boys Hostel   Canteen   Computer Lab   Convo. Hall   Counselling   Education Festival   Gym   Mess   Theatre   Library   Medical Facilities   Cls. Room   Placement   Sports   Trans.   WiFi  ,020-27640998,enquiry@dypimca.org,http://dypimca.org/,"['Sector No – 29, Nigdi-Pradhikaran, Akurdi, Pune, Maharashtra, India-411044']"
"ASMAInstituteofManagement(ASMA),pune",https://www.collegedekho.com/colleges/asma-institute-of-management-2,Private, Academic Zone   A/C   AV Lab   Auditorium   ATM   Canteen   Computer Lab   Counselling   Cultural zone   Education Festival   Planning lab   Free Laptop   Girls Hostel   Guest house   Library   Medical Facilities   Cls. Room   Placement   Sports   Trans.  , 25291471,director@asma.in,http://www.asma.in,"Shastri Campus,S. No. 85, NDA Road,Shivane, Pune-23"
"SiddhantInstituteofComputerApplication(SICA),pune",https://www.collegedekho.com/colleges/siddhant-institute-of-computer-application-pune,Private, A/C   Auditorium   Boys Hostel   Canteen   Computer Lab   Convo. Hall   Counselling   Library   Medical Facilities   Cls. Room   Placement   Sports   Trans.   WiFi  ,02114-661936,caymetadmenquiry@gmail.com,http://siddhantica.edu.in/,"['Talegaon-Chakan Road, A/P-Sudumbare, Tal-Maval, Pune, Maharashtra, India']"
"SchoolofMediaActivityResearch&Technology(SMARTPUNE),pune",https://www.collegedekho.com/colleges/school-of-media-activity-research-technology-karve-nagar-pune,Private, A/C   Auditorium   ATM   Canteen   Computer Lab   CSC   Convo. Hall   Library   Medical Facilities   Cls. Room   WiFi  ,   ,mksssmart@gmail.com,http://www.smartpune.edu.in/,"['2nd Floor, Maharshee Karve Stree Shikshan Samstha’s, Head Office, Above Bhagini Nivedita Sahakari Bank, Karve Nagar, Pune, Maharashtra, India- 411052']"
"IndiraSchoolofCommunication(ISC),pune",https://www.collegedekho.com/colleges/indira-school-of-communication,Private, A/C   Auditorium   Boys Hostel   Canteen   Computer Lab   Convo. Hall   Counselling   Gym   Mess   Library   Medical Facilities   Cls. Room   Placement   Sports   Trans.   WiFi   Cafeteria    Laboratories   Hostel  ,+91-02-066759449 +91-9049389234,isc@indiraedu.com,http://indiraisc.edu.in/,"['85/5-B, Samanvay IT Campus, New Pune-Mumbai Highway, Tathwade, Pune-411033, Maharashtra, India']"
"NationalInstituteofEventManagement(NIEM),pune",https://www.collegedekho.com/colleges/niem-2,Private, A/C   ATM   Boys Hostel   Canteen   Computer Lab   Convo. Hall   Counselling   Fest   Cultural zone   Girls Hostel   Guest house   Gym   Hospital   Mess   Medical Facilities   Cls. Room  ,    ,niem.events@gmail.com,http://www.niemindia.com/,"4, Kamal Prabha Apts, Opp. Police ground,Next to Corn Club, F.C. Road Pune,Maharashtra 411 016"
"PDEACollegeofAyurveda&ResearchCentre(PDEACARC),pune",https://www.collegedekho.com/colleges/pdeas-college-of-ayurveda-research-centre,Private, AV Lab   Canteen   Cls. Room  ,020-27653965,carcakurdi@gmail.com,http://www.pdeacarcayu.com/,"['College of Ayurved & Research Centre\r\nSector No. 25, Pradhikaran, Nigdi, Pune-411 044.']"
"AmclinLifeSciences(ALS),pune",https://www.collegedekho.com/colleges/amclin-life-sciences,Private, A/C   AV Lab   Computer Lab   Library   Medical Facilities   Cls. Room   Placement   WiFi  , 959-536-5057,info@amclin.com,http://www.amclin.com/,"['Yashwant Nagar, B/H Amar Resto., Opp.Bank of India, Near Hotel Radisson Blu, Kharadi, Pune, Maharashtra, India- 411014']"
"K.E.M.HospitalHealthcareManagementInstitute(KEMHHMI),pune",https://www.collegedekho.com/colleges/kem-hospital-healthcare-management-institute,Private,College TypePrivateFee RangeINR 35 KCourses Offered1 , 66037471,kemhospitalmgtcourse1@gmail.com,http://kemhospitalhmi.com/,"['K.E.M. Hospital\r\n\r\nHealthcare Management Institute\r\n\r\nBanoo Coyaji Building, 6th floor\r\n\r\nKEM Hospital, Rasta Peth\r\n\r\nPune 411011, Maharashtra']"
"MaharashiKarveStreeShikshanSanstha'sSmt.BakulTambatNursingInstitute(MKSSSSBTNI),pune",https://www.collegedekho.com/colleges/maharashi-karve-stree-shikshan-sansthas-smt-bakul-tambat-nursing-institute,Private, Academic Zone   Auditorium   Boys Hostel   Canteen   Computer Lab   Convo. Hall   Counselling   Hospital   Theatre   Library   Medical Facilities   Cls. Room   Placement   Sports   Trans.   WiFi  ,020-25477557,btine@vsnl.net,http://www.mksssine.org/,"['Smt. Bakul Tambat Institute of Nursing Education Campus,  Karve Nagar, Pune, Maharashtra, India- 411052 ']"
"TehmiGrantInstituteOfNursingEducation(TGINE),pune",https://www.collegedekho.com/colleges/tehmi-grant-institute-of-nursing-education,Private, Academic Zone   Boys Hostel   Canteen   Counselling   Hospital   Library   Medical Facilities   Placement   Trans.   WiFi  ,  26162359,tehmigrant@hotmail.com,http://www.tgine.com,"['Tehmi Grant Institute Of Nursing Education, 13 Tadiwala Road , Near Dhole Patil Road, Bund Garden Road, Pune, Maharashtra, India- 411001']"
"PadmashreeDr.D.Y.PatilCollegeofNursing(DYPCN),pune",https://www.collegedekho.com/colleges/dy-patil-college-of-nursing,Private, Academic Zone   AV Lab   Auditorium   ATM   Canteen   Computer Lab   Counselling   Library   Medical Facilities   Cls. Room   Placement   Trans.   WiFi  ,020-65288885,info.nursing@dpu.edu.in,http://nursing.dpu.edu.in,"['Padmashree Dr.D.Y.Patil College of Nursing, Plot No.BGP-190, Bhosari MIDC Aria, Bhosari, Pune, Maharashtra, India- 411026']"
"Dr.D.Y.PatilInstituteofOptometry&VisualSciences(DPV),pune",https://www.collegedekho.com/colleges/dr-dy-patil-institute-of-optometry-and-visual-sciences,Private, A/C   Auditorium   Canteen   Computer Lab   Fest   International Center   Library   Medical Facilities   Cls. Room   Sports   Trans.   WiFi   Laboratories   Hostel  , 27805952,info.optom@dpu.edu.in,http://optometry.dpu.edu.in/,"['Sant Tukaram Nagar, Pimpri, Pune – 411018,\r\nMaharashtra, India.']"
"SymbiosisCollegeofNursing(SCON),pune",https://www.collegedekho.com/colleges/scon,Private, Auditorium   ATM   Boys Hostel   Canteen   Computer Lab   Counselling   Library   Medical Facilities   Cls. Room   Placement   Trans.   WiFi  ,020-25671907,admission@scon.edu.in,http://www.scon.edu.in/,"['Symbiosis College of Nursing (SCON), Senapati Bapat Road, Pune-411004, Maharashtra, India']"
"ShivnagarVidyaPrasarakMandal'sCollegeofPharmacy(SVPMCOP),pune",https://www.collegedekho.com/colleges/svpm-college-of-pharmacy,Private, Boys Hostel   Computer Lab   Counselling   Gymkhana   Library   Medical Facilities   Cls. Room   Placement   Sports   Grounds  ,(02112)254447,svpm@indiatimes.com,http://www.svpmpharmacy.org/,"['Tal.Baramati, Dist.Pune, Maharashtra, India,413115.']"
"Dr.D.Y.PatilCollegeofPhysiotherapy(DYPCP),pune",https://www.collegedekho.com/colleges/dy-patil-college-of-physiotherapy,Private, Auditorium   Computer Lab   Counselling   Library   Medical Facilities   Cls. Room   Sports   Trans.   Cafeteria    Laboratories  ,020-64108555,info.physio@dpu.edu.in,http://physiotherapy.dpu.edu.in/,"['Plot no. BGP/190,\r\nNear Pavna Industries,\r\nMIDC Area, Bhosari,\r\nPune - 411026']"
"JSPM'sJayawantraoSawantInstituteofPharmacy(JSIP),pune",https://www.collegedekho.com/colleges/jspm-college-of-pharmacy-hadapsar,Private,College TypePrivateEstablished In2006Courses Offered2 ,02026970890,jspm_jsiph@rediffmail.com,http://jspm.edu.in/jscopr/,"['Survy No.58, Handewadi Road, Hadapsar, Pune 28']"
"AbhinavEducationSociety'sCollegeofPharmacy(AESCOP),pune",https://www.collegedekho.com/colleges/abhinav-education-societys-college-of-pharmacy,Private, Boys Hostel   Canteen   Computer Lab   Convo. Hall   Counselling   Library   Medical Facilities   Cls. Room   Placement   Sports   Trans.   WiFi   Laboratories  ,02032316708,abhinav_bpharm@yahoo.com,http://bpharm.abhinavsociety.org/,"['Sr.No. 23/2/3, Near Katraj (Ambegaon BK) , A/P: Narhe, Tal:Haveli , Pune, Maharashtra, India - 411041']"
"SiddhantCollegeofpharmacy(SCOP),pune",https://www.collegedekho.com/colleges/siddhant-college-of-pharmacy,Private, A/C   Auditorium   ATM   Boys Hostel   Canteen   Computer Lab   Hospital   Mess   Library   Medical Facilities   Cls. Room   Placement   Trans.   WiFi   Cafeteria   ,+91-020-65100360,siddhantcollegeofpharmacy@yahoo.in,http://www.siddhantcop.edu.in/,"['Talegaon – Chakan Road, A/P-Sudumbare, Tal-Maval, Dist-Pune Pin- 412109']"
"HardikarCollegeofPhysiotherapyDepartmentofHealthScience(HARDIKARPUNE),pune",https://www.collegedekho.com/colleges/hardikar-college-of-physiotherapy-department-of-health-science,Private, Academic Zone   A/C   AV Lab   Boys Hostel   Canteen   Computer Lab   Gymkhana   Hospital   Mess   Library   Medical Facilities   Cls. Room   WiFi  ,,info@hardikarhospital.org,http://www.hardikarhospital.org/,"['1160/61,University Road, Shivaji Nagar, Pune, Maharashtra, India- 411005 ']"
"M.A.RangoonwalaCollegeofPhysiotherapy&ResearchCamp(MARCPRC),pune",https://www.collegedekho.com/colleges/marangoonwala-college-of-physiotherapy-research-camp-pune, , A/C   Auditorium   Boys Hostel   Canteen   Computer Lab   Gymkhana   Hospital   Library   Medical Facilities   Cls. Room   Sports   WiFi  ,02026437871,marcopar2004@yahoo.co.in,http://www.marcopar.com/,"['M.A. RANGOONWALA COLLEGE OF PHYSIOTHERAPY AND RESEARCH 2390-B, K.B. Hidayatullah Road, Azam Campus,Camp, PUNE – 411 001, MAHARAHSTRA - INDIA.']"
"M.C.E.SocietyInstituteofPharmacy(MCESIP),pune",https://www.collegedekho.com/colleges/institute-of-pharmacy-pune,Private, Auditorium   Boys Hostel   Canteen   Computer Lab   Cultural zone   Mess   Theatre   Library   Medical Facilities   Cls. Room   post off.   Practical Labs   Residential Institute   Residential Faculty Zone   Trans.   WiFi  ,91-020-26434157,mceiop@yahoo.co.in,http://www.instituteofpharmacy.org,"[""Maharashtra Cosmopolitan Education Society's NSTITUTE OF PHARMACY, 2390 / B - K. B. Hidayatullah Road, New Modikhana, Azam Campus, Camp,  Pune – 411001.""]"
"PadmashreeDr.D.Y.PatilCollegeofAgricultureBusinessManagement(DYPCABM),pune",https://www.collegedekho.com/colleges/dy-patil-college-of-agriculture,Private, AV Lab   Auditorium   Boys Hostel   Canteen   Computer Lab   Convo. Hall   Counselling   Cultural zone   Planning lab   Girls Hostel   Mess   Theatre   Library   Medical Facilities   Cls. Room   Placement   Sports   Grounds   Practical Labs   Residential Institute   Residential Faculty Zone   Trans.   WiFi  , 020/2027515,dypabm@gmail.com,http://www.dypagribusiness.org,"['Padmashree Dr. D. Y. Patil College of Agriculture Business Management', ' D. Y. PatilEducational Complex', ' Sector 29', ' NigidiPradhikaran', ' Akurdi', ' Pune 411044.']"
"MITArtsCommerce&ScienceCollege(MAEER),pune",https://www.collegedekho.com/colleges/mit-arts-commerce-science-college,Private, Math Lab   Canteen   Computer Lab   Counselling   Cultural zone   Theatre   Library   Medical Facilities   Cls. Room   Placement   Sports   Grounds   Practical Labs   Trans.   WiFi  ,020-30253500,principal@mitacsc.ac.in,http://mitacsc.ac.in,"['Dehu Phata, Alandi (D),Tal. Khed,  Pune - 412 105 Maharashtra,']"
"SnehaAcademy(SA),pune",https://www.collegedekho.com/colleges/sneha-academy,Private,College TypePrivateEstablished In2006Courses Offered18 ,020-32543400,contact@snehaedu.com,http://www.snehaedu.com/,"['3rd Floor, Ravi Chambers, Above Saraswat Bank,, Canada Corner, Nashik, Maharashtra, India- 422005']"
"InternationalInstituteofCreativeMarketing(IICMPUNE),pune",https://www.collegedekho.com/colleges/international-institute-of-creative-marketing,Private, Academic Zone   A/C   AV Lab   Computer Lab   Counselling   Library   Medical Facilities   Cls. Room   Placement   WiFi  ,08381092629,info@creativemerchants.com,http://www.iicm.in,"['Row House #9, Crrysalis Society, Lohegaon Road, Wagholi, Wagholi Rd, Wagholi, Pune, Maharashtra 412207']"
"RajivGandhiBusinessSchool(RGBS),pune",https://www.collegedekho.com/colleges/gramodayas-rajiv-gandhi-business-school,Private, Math Lab   Academic Zone   A/C   AV Lab   Auditorium   Boys Hostel   Canteen   Computer Lab   Free Laptop   Girls Hostel   Theatre   Library   Medical Facilities   Cls. Room   Placement   Sports   Trans.   WiFi  ,+91-7757034908,admissions@rajiv.edu.in,http://www.rajiv.edu.in/,"['# 31, Tathawade Road,  Near Dange chowk, Tathawade, Pune, Maharashtra 411033.']"
"SymbiosisCentreforManagementandHumanResourceDevelopment-(SCMHRD),pune",https://www.collegedekho.com/colleges/scmhrd-pune,Private, Math Lab   Academic Zone   A/C   AV Lab   Auditorium   ATM   Boys Hostel   Canteen   Computer Lab   CSC   Counselling   Fest   Gymkhana   Mess   Theatre   Library   Medical Facilities   Cls. Room   Music   Placement   Sports   Practical Labs   Residential Faculty Zone   Trans.   WiFi  ,+91-20-22934304,admissions@scmhrd.edu,http://www.scmhrd.edu/,"Symbiosis Infotech Campus, Plot No. 15, Rajiv Gandhi Infotech Park, MIDC, Hinjewad, Pune-411057, Maharashtra, India"
"NilayaFoundationI-CATSManagementInstitute(ICATSPUNE),pune",https://www.collegedekho.com/colleges/i-cats-pune,Private, A/C   Canteen   Computer Lab   Library   Cls. Room   Placement   Sports   Trans.   WiFi  , 60503002,icats.pune@gmail.com,http://www.icats.co.in/,"['1534, 2nd, 3rd & 4th Floor Vivekanand Apt, Opp. Shakti Sports Mall, Near S.P. College,Tilak Road, Sadashiv Peth, Pune – 411030.']"
"TimesPro,pune",https://www.collegedekho.com/colleges/times-pro-pune,Private, Academic Zone   A/C   Auditorium   ATM   Canteen   Computer Lab   Counselling   Library   Medical Facilities   Cls. Room   Music   Placement   Residential Institute   Residential Zone   Residential Faculty Zone   Trans.   WiFi  , 9579933417,Pooja.sawant@timegroup.com,http://www.timespro.com,"['4th Floor, Fortune Near Deep Bunglow Chowk,Model colony, Pune 411016']"
"Prof.RamkrishnaMoreArts,Commerce&ScienceCollege(PDEARMCS),pune",https://www.collegedekho.com/colleges/prof-ramkrishna-more-arts-commerce-science-college,Private, Academic Zone   A/C   Auditorium   ATM   Canteen   Computer Lab   Cultural zone   Theatre   Medical Facilities   Placement   Residential Institute   Residential Zone   Residential Faculty Zone   Trans.   WiFi  , 020-27650276,rmacscollege@yahoo.com,http://www.pdearmacs.co.in/,"['Prof. Ramakrishna More Arts', ' Commerce & Science College Akurdi', ' PradhikaranPune - 411044. ']"
"UEIGlobal(UEI),pune",https://www.collegedekho.com/colleges/uei-global-pune,Private, Computer Lab   Girls Hostel   Library   Cls. Room   WiFi  ,02044151515,info@uei-global.com,http://uei-global.com/,"['Plot No-823C', ' Bhamburda', ' Nr Corporation Bus Stand', ' Shivaji Nagar', ' Pune-411005 ']"
"DesignAndMe(D&M),pune",https://www.collegedekho.com/colleges/design-and-me-pune,Private, Computer Lab   Convo. Hall   Fest   Digi sign   Planning lab   Gym   International Center   Library   Music   Sports   post off.  ,02060606026,career@designandmeindia.com,http://www.designandmeindia.com/,"['Design and Me Campus,2nd Floor, Chinar Heights, Deep Bungalow Square, Model Colony, Pune - 411016.']"
"MarksClasses(MC),pune",https://www.collegedekho.com/colleges/marks-classes-pune,Private, Academic Zone   Medical Facilities   Cls. Room   Residential Institute   Residential Zone   Residential Faculty Zone  ,01164670031,marksclasses@gmail.com,http://www.markclasses.com/,"['D-64 SIR SYED TOWER NEAR GOD GRACE SCHOOL', 'ABUL FAZAL ENCLAVE', 'JAMIA NAGAR OKHLA', 'NEW DELHI- 110025']"
"GoodShepherdProfessionalAcademy(GSPA),pune",https://www.collegedekho.com/colleges/good-shepherd-professional-academy,Private, Computer Lab   Cls. Room  ,,info@gspa.co.in,Http://www.gspa.co.in/,"['D-17, Sant Tukaram Vyapar Sankul, Nigdi,Tilak Chowk,Near Rupee Bank, Pune 411044']"
"BaburaojiGholapCollege(BGC),pune",https://www.collegedekho.com/colleges/baburaoji-gholap-college,Private,College TypePrivateEstablished In1989Courses Offered14 ,+91-2027280204,Principal@bgcollege.com,http://www.pdea-bgc.org/website/index.php,"['Near Old Chest hospital, New Sanghvi, Pune, Maharashtra, India- 411027']"
"SamajhBhushanBaburaoaliasAppashebJedheArtsCommerceandScienceCollege(JEDHECOLLEGE),pune",https://www.collegedekho.com/colleges/jedhe-college,Private,College TypePrivateEstablished In1984Courses Offered7 ,912024477335,info@jedhecollege.ac.in,http://www.jedhecollege.ac.in/,"['425, Shukrawar Peth, Pune - 411002.\r\nMaharashtra, India.']"
